>genome ntab08
>asmbl_id 1
NT08AB3019	NT08AB3018	NT08AB3020
NT08AB0796	NT08AB0797
NT17AB3381	NT17AB3380
NT17AB0920	NT17AB0921
NT17AB1361	NT17AB1362
NT17AB0630	NT17AB0631
NT17AB2740	NT17AB2741
NT17AB2793	NT17AB2792
NT17AB1131	NT17AB1132
NT17AB0395	NT17AB0394	NT17AB0393
NT17AB2373	NT17AB2372
NT17AB0780	NT17AB0781
NT17AB3390	NT17AB3391
NT17AB0362	NT17AB0363
NT17AB0330	NT17AB0331
NT17AB0277	NT17AB0278
NT17AB1541	NT17AB1542
NT17AB0611	NT17AB0612	NT17AB0610
NT17AB0938	NT17AB0939
NT17AB0779	NT17AB0777
NT17AB0838	NT17AB0839
NT17AB0082	NT17AB0081
NT17AB1138	NT17AB1139
NT17AB0166	NT17AB0167	NT17AB0168
NT17AB1074	NT17AB1073
NT17AB0283	NT17AB0282	NT17AB0281
NT17AB2699	NT17AB2700
NT17AB0605	NT17AB0604
NT17AB0386	NT17AB0385
NT17AB3000	NT17AB3001
NT17AB3058	NT17AB3059
NT17AB0813	NT17AB0814
NT17AB0590	NT17AB0589
NT17AB0746	NT17AB0745
NT17AB2713	NT17AB2714
NT17AB3031	NT17AB3030
NT17AB1944	NT17AB1943
NT17AB1251	NT17AB1252
NT17AB3104	NT17AB3105
NT17AB1858	NT17AB1857
NT17AB2251	NT17AB2250
NT17AB0771	NT17AB0770	NT17AB0769	NT17AB0768	NT17AB0767
NT17AB2833	NT17AB2834	NT17AB2835
NT17AB2132	NT17AB2131
NT17AB2465	NT17AB2466
NT17AB2055	NT17AB2056
NT17AB1325	NT17AB1326
NT17AB1287	NT17AB1288
NT17AB0475	NT17AB0476
NT17AB2152	NT17AB2153
NT17AB1780	NT17AB1779	NT17AB1781
NT17AB1183	NT17AB1182
NT17AB0535	NT17AB0536	NT17AB0534
>genome ntab20
>asmbl_id 1
NT20ABA1441	NT20ABA1440	NT20ABA1442
NT20ABA2703	NT20ABA2704
NT20ABA2727	NT20ABA2726
NT20ABA1846	NT20ABA1845
NT20ABA2687	NT20ABA2686
NT20ABA1764	NT20ABA1763	NT20ABA1765
NT20ABA0450	NT20ABA0451
NT20ABA0895	NT20ABA0896
NT20ABA3645	NT20ABA3644
NT20ABA1961	NT20ABA1960
NT20ABA2673	NT20ABA2672
NT20ABA3404	NT20ABA3403
NT20ABA2461	NT20ABA2460
NT20ABA3397	NT20ABA3396
NT20ABA1098	NT20ABA1097
NT20ABA0234	NT20ABA0233
NT20ABA1369	NT20ABA1368
NT20ABA0742	NT20ABA0741
NT20ABA0526	NT20ABA0525
NT20ABA0937	NT20ABA0936
NT20ABA2277	NT20ABA2278
NT20ABA0887	NT20ABA0886
NT20ABA3439	NT20ABA3440
NT20ABA3055	NT20ABA3056
NT20ABA0758	NT20ABA0759	NT20ABA0760
NT20ABA0959	NT20ABA0958
NT20ABA3865	NT20ABA3864
NT20ABA0026	NT20ABA0025
NT20ABA2389	NT20ABA2388
NT20ABA3426	NT20ABA3425
NT20ABA2030	NT20ABA2031
NT20ABA2940	NT20ABA2941	NT20ABA2942
NT20ABA3784	NT20ABA3783
NT20ABA2660	NT20ABA2659
NT20ABA3223	NT20ABA3224
NT20ABA0698	NT20ABA0699
NT20ABA2401	NT20ABA2402
NT20ABA3313	NT20ABA3312
NT20ABA3074	NT20ABA3075
NT20ABA3111	NT20ABA3112
NT20ABA3330	NT20ABA3331
NT20ABA2875	NT20ABA2876
NT20ABA3169	NT20ABA3170
NT20ABA1821	NT20ABA1822
NT20ABA1550	NT20ABA1549
NT20ABA2980	NT20ABA2981
NT20ABA2412	NT20ABA2411
NT20ABA1508	NT20ABA1509
NT20ABA1661	NT20ABA1660
NT20ABA3257	NT20ABA3256	NT20ABA3255
NT20ABA2905	NT20ABA2904
NT20ABA1033	NT20ABA1032	NT20ABA1031
NT20ABA2129	NT20ABA2128
NT20ABA2300	NT20ABA2301
NT20ABA3767	NT20ABA3766
NT20ABA0227	NT20ABA0228
NT20ABA0865	NT20ABA0866
NT20ABA1670	NT20ABA1669
NT20ABA2326	NT20ABA2327
NT20ABA0653	NT20ABA0652
NT20ABA3168	NT20ABA3167
NT20ABA2544	NT20ABA2543
NT20ABA1009	NT20ABA1008
NT20ABA3933	NT20ABA3934
NT20ABA1485	NT20ABA1486	NT20ABA1487
NT20ABA3137	NT20ABA3138
NT20ABA3932	NT20ABA3931	NT20ABA3930
NT20ABA3899	NT20ABA3900
NT20ABA2531	NT20ABA2530
NT20ABA1182	NT20ABA1181
