NT08AB0001	NT16AB0001	NT17AB0001	NT20ABA0020
NT08AB0040	NT16AB3771	NT17AB0037	NT20ABA0076
NT08AB0041	NT16AB3770	NT17AB0039	NT20ABA0077
NT08AB0042	NT16AB3769	NT17AB0040	NT20ABA0078
NT08AB0043	NT16AB3768	NT17AB0041	NT20ABA0079
NT08AB0044	NT16AB3767	NT17AB0042	NT20ABA0080
NT08AB0045	NT16AB3766	NT17AB0043	NT20ABA0081
NT08AB0046	NT16AB3765	NT17AB0044	NT20ABA0082
NT08AB0047	NT16AB3764	NT17AB0045	NT20ABA0083
NT08AB0048	NT16AB3763	NT17AB0046	NT20ABA0084
NT08AB0049	NT16AB3762	NT17AB0047	NT20ABA0085
NT08AB0050	NT16AB3761	NT17AB0048	NT20ABA0086
NT08AB0051	NT16AB3760	NT17AB0049	NT20ABA0087
NT08AB0052	NT16AB3759	NT17AB0050	NT20ABA0088
NT08AB0053	NT16AB3758	NT17AB0051	NT20ABA0090
NT08AB0054	NT16AB3757	NT17AB0052	NT20ABA0089
NT08AB0055	NT16AB3756	NT17AB0053	NT20ABA0091
NT08AB0056	NT16AB3755	NT17AB0055	NT20ABA0092
NT08AB0057	NT16AB3754	NT17AB0057	NT20ABA0093
NT08AB0058	NT16AB3753	NT17AB0058	NT20ABA0094
NT08AB0059	NT16AB3752	NT17AB0059	NT20ABA0095
NT08AB0060	NT16AB3751	NT17AB0060	NT20ABA0096
NT08AB0061	NT16AB3750	NT17AB0061	NT20ABA0097
NT08AB0062	NT16AB3749	NT17AB0062	NT20ABA0098
NT08AB0063	----------	----------	----------
NT08AB0064	NT16AB3741	NT17AB0067	NT20ABA0110
NT08AB0065	NT16AB3740	NT17AB0064	----------
NT08AB0066	----------	----------	----------
NT08AB0067	----------	----------	----------
NT08AB0068	----------	----------	----------
NT08AB0069	----------	----------	----------
NT08AB0070	----------	----------	----------
NT08AB0071	----------	NT17AB0074	NT20ABA0103
NT08AB0072	----------	----------	----------
NT08AB0073	NT16AB3742	NT17AB0075	----------
NT08AB0074	NT16AB3738	NT17AB0076	NT20ABA0115
NT08AB0075	----------	----------	----------
NT08AB0076	NT16AB3737	NT17AB0077	NT20ABA0116
NT08AB0077	NT16AB3736	NT17AB0078	NT20ABA0117
NT08AB0078	----------	NT17AB0079	NT20ABA0118
NT08AB0079	NT16AB3735	NT17AB0080	NT20ABA0119
NT08AB0080	NT16AB3734	NT17AB0082	NT20ABA0120
NT08AB0081	NT16AB3733	NT17AB0083	NT20ABA0121
NT08AB0082	NT16AB3732	NT17AB0084	NT20ABA0122
NT08AB0083	NT16AB3731	NT17AB0085	NT20ABA0123
NT08AB0084	NT16AB3730	NT17AB0086	NT20ABA0124
NT08AB0085	----------	----------	----------
NT08AB0086	NT16AB3729	NT17AB0087	NT20ABA0125
NT08AB0087	NT16AB3728	NT17AB0088	NT20ABA0126
NT08AB0088	NT16AB3727	NT17AB0089	NT20ABA0127
NT08AB0089	----------	----------	----------
NT08AB0090	NT16AB3726	NT17AB0090	NT20ABA0128
NT08AB0091	----------	----------	----------
NT08AB0092	----------	----------	----------
NT08AB0093	NT16AB3723	NT17AB0091	----------
NT08AB0094	----------	NT17AB0092	----------
NT08AB0095	----------	----------	----------
NT08AB0096	NT16AB2407	----------	NT20ABA1499
NT08AB0097	----------	----------	----------
NT08AB0098	----------	----------	----------
NT08AB0099	----------	----------	----------
NT08AB0100	----------	----------	----------
NT08AB0101	----------	----------	----------
NT08AB0102	----------	----------	----------
NT08AB0103	----------	----------	----------
NT08AB0104	NT16AB3719	NT17AB0097	NT20ABA0134
NT08AB0105	----------	----------	----------
NT08AB0106	NT16AB3718	NT17AB0098	NT20ABA0135
NT08AB0107	NT16AB3717	NT17AB0100	NT20ABA0136
NT08AB0108	NT16AB3716	NT17AB0101	NT20ABA0137
NT08AB0109	NT16AB3715	NT17AB0102	NT20ABA0138
NT08AB0110	NT16AB3714	NT17AB0103	NT20ABA0139
NT08AB0111	NT16AB3713	NT17AB0104	NT20ABA0140
NT08AB0112	NT16AB3712	NT17AB0105	NT20ABA0141
NT08AB0113	NT16AB3711	NT17AB0106	NT20ABA0142
NT08AB0114	NT16AB3710	NT17AB0107	NT20ABA0143
NT08AB0115	NT16AB3709	NT17AB0108	NT20ABA0144
NT08AB0116	NT16AB3708	NT17AB0109	NT20ABA0145
NT08AB0117	NT16AB3707	----------	NT20ABA0146
NT08AB0118	NT16AB3706	NT17AB0110	NT20ABA0147
NT08AB0119	NT16AB3705	NT17AB0111	NT20ABA0148
NT08AB0120	----------	----------	----------
NT08AB0121	NT16AB3704	NT17AB0112	NT20ABA0149
NT08AB0122	NT16AB3703	NT17AB0113	NT20ABA0150
NT08AB0123	NT16AB3702	NT17AB0114	NT20ABA0151
NT08AB0124	NT16AB3701	NT17AB0116	NT20ABA0152
NT08AB0125	NT16AB3700	NT17AB0117	NT20ABA0153
NT08AB0126	NT16AB3699	NT17AB0118	NT20ABA0154
NT08AB0127	NT16AB3698	NT17AB0119	NT20ABA0155
NT08AB0128	NT16AB3697	----------	NT20ABA0156
NT08AB0129	NT16AB3696	----------	NT20ABA0157
NT08AB0130	NT16AB3695	----------	NT20ABA0158
NT08AB0131	NT16AB3694	----------	NT20ABA0159
NT08AB0132	NT16AB3693	----------	NT20ABA0160
NT08AB0133	NT16AB3692	----------	NT20ABA0161
NT08AB0134	NT16AB3691	----------	NT20ABA0162
NT08AB0135	NT16AB3690	----------	NT20ABA0163
NT08AB0136	NT16AB3689	----------	NT20ABA0164
NT08AB0137	NT16AB3688	----------	NT20ABA0165
NT08AB0140	NT16AB3685	NT17AB0123	NT20ABA0168
NT08AB0141	NT16AB3684	NT17AB0124	NT20ABA0169
NT08AB0142	NT16AB3683	NT17AB0125	NT20ABA0170
NT08AB0143	NT16AB3682	NT17AB0126	NT20ABA0171
NT08AB0144	NT16AB3681	NT17AB0127	NT20ABA0172
NT08AB0145	NT16AB3680	NT17AB0128	NT20ABA0173
NT08AB0146	NT16AB3679	NT17AB0131	NT20ABA0174
NT08AB0147	NT16AB3678	NT17AB0132	NT20ABA0175
NT08AB0148	NT16AB3677	NT17AB0133	NT20ABA0176
NT08AB0149	NT16AB3676	NT17AB0134	NT20ABA0177
NT08AB0150	NT16AB3675	NT17AB0135	NT20ABA0178
NT08AB0151	NT16AB3674	NT17AB0136	NT20ABA0179
NT08AB0152	NT16AB3673	NT17AB0137	NT20ABA0180
NT08AB0153	NT16AB3672	NT17AB0138	NT20ABA0181
NT08AB0154	NT16AB3671	NT17AB0139	NT20ABA0182
NT08AB0155	NT16AB3670	NT17AB0141	NT20ABA0183
NT08AB0156	----------	----------	----------
NT08AB0157	NT16AB3669	NT17AB0142	NT20ABA0184
NT08AB0158	NT16AB3668	----------	NT20ABA0185
NT08AB0159	NT16AB3667	----------	NT20ABA0186
NT08AB0160	NT16AB3666	----------	NT20ABA0187
NT08AB0161	NT16AB3665	NT17AB0144	NT20ABA0188
NT08AB0162	NT16AB3664	NT17AB0145	NT20ABA0189
NT08AB0163	NT16AB3663	NT17AB0146	NT20ABA0190
NT08AB0164	NT16AB3662	NT17AB0147	NT20ABA0191
NT08AB0165	NT16AB3661	NT17AB0148	NT20ABA0192
NT08AB0166	NT16AB3660	NT17AB0149	NT20ABA0193
NT08AB0167	NT16AB3659	NT17AB0150	NT20ABA0194
NT08AB0168	NT16AB3658	NT17AB0151	NT20ABA0195
NT08AB0169	NT16AB3657	NT17AB0152	NT20ABA0196
NT08AB0170	NT16AB3656	NT17AB0153	NT20ABA0197
NT08AB0171	NT16AB3655	NT17AB0154	NT20ABA0198
NT08AB0172	NT16AB3654	NT17AB0155	NT20ABA0199
NT08AB0173	NT16AB3653	NT17AB0156	NT20ABA0200
NT08AB0174	----------	----------	----------
NT08AB0175	NT16AB3652	NT17AB0159	NT20ABA0201
NT08AB0176	NT16AB3651	NT17AB0160	NT20ABA0202
NT08AB0177	NT16AB3650	NT17AB0161	NT20ABA0203
NT08AB0178	NT16AB3649	NT17AB0162	NT20ABA0204
NT08AB0179	NT16AB3648	NT17AB0163	NT20ABA0205
NT08AB0180	NT16AB3647	NT17AB0164	NT20ABA0206
NT08AB0181	----------	----------	----------
NT08AB0182	NT16AB3646	NT17AB0165	NT20ABA0207
NT08AB0183	NT16AB3645	NT17AB0166	NT20ABA0208
NT08AB0184	NT16AB3644	NT17AB0169	NT20ABA0209
NT08AB0185	NT16AB3643	NT17AB0170	NT20ABA0210
NT08AB0186	NT16AB3642	----------	NT20ABA0211
NT08AB0187	NT16AB3641	NT17AB0171	NT20ABA0212
NT08AB0188	NT16AB3640	NT17AB0172	NT20ABA0213
NT08AB0189	NT16AB3639	NT17AB0173	NT20ABA0214
NT08AB0190	NT16AB3638	NT17AB0175	NT20ABA0215
NT08AB0196	NT16AB3632	NT17AB0185	NT20ABA0221
NT08AB0197	NT16AB3631	NT17AB0186	NT20ABA0222
NT08AB0198	NT16AB3630	NT17AB0187	NT20ABA0223
NT08AB0199	NT16AB3629	NT17AB0188	NT20ABA0224
NT08AB0200	NT16AB3628	----------	NT20ABA0225
NT08AB0201	NT16AB3627	----------	NT20ABA0226
NT08AB0202	NT16AB3626	----------	NT20ABA0227
NT08AB0203	NT16AB3625	NT17AB0190	NT20ABA0229
NT08AB0204	NT16AB3624	NT17AB0191	NT20ABA0230
NT08AB0205	NT16AB3623	NT17AB0192	NT20ABA0231
NT08AB0206	NT16AB3622	NT17AB0193	NT20ABA0232
NT08AB0207	NT16AB3621	NT17AB0194	NT20ABA0234
NT08AB0208	NT16AB3620	NT17AB0195	NT20ABA0235
NT08AB0209	NT16AB3619	NT17AB0196	NT20ABA0236
NT08AB0210	NT16AB3618	NT17AB0197	NT20ABA0237
NT08AB0211	NT16AB3617	NT17AB0198	NT20ABA0238
NT08AB0212	NT16AB3616	NT17AB0199	NT20ABA0239
NT08AB0213	NT16AB3615	NT17AB0200	NT20ABA0240
NT08AB0214	NT16AB3614	NT17AB0201	NT20ABA0241
NT08AB0215	----------	----------	----------
NT08AB0216	NT16AB3613	NT17AB0202	NT20ABA0242
NT08AB0217	----------	----------	----------
NT08AB0218	NT16AB3612	NT17AB0203	NT20ABA0243
NT08AB0219	NT16AB3611	NT17AB0204	NT20ABA0244
NT08AB0220	NT16AB3610	NT17AB0205	NT20ABA0245
NT08AB0221	NT16AB3609	NT17AB0206	NT20ABA0246
NT08AB0222	NT16AB3608	----------	NT20ABA0247
NT08AB0223	NT16AB3607	----------	NT20ABA0248
NT08AB0224	NT16AB3606	----------	NT20ABA0249
NT08AB0225	NT16AB3605	----------	NT20ABA0250
NT08AB0226	NT16AB3604	----------	NT20ABA0251
NT08AB0227	NT16AB3603	----------	NT20ABA0252
NT08AB0228	----------	----------	----------
NT08AB0229	NT16AB3602	----------	NT20ABA0253
NT08AB0230	----------	----------	----------
NT08AB0231	NT16AB3601	NT17AB3133	NT20ABA0254
NT08AB0232	NT16AB3600	NT17AB3132	NT20ABA0583
NT08AB0233	----------	----------	NT20ABA0582
NT08AB0234	----------	----------	NT20ABA0581
NT08AB0235	----------	----------	NT20ABA0580
NT08AB0236	----------	----------	NT20ABA0579
NT08AB0237	----------	----------	NT20ABA0578
NT08AB0238	NT16AB3516	----------	NT20ABA0314
NT08AB0239	NT16AB3515	----------	NT20ABA0315
NT08AB0240	NT16AB3514	NT17AB3123	NT20ABA0316
NT08AB0241	NT16AB3513	NT17AB3122	NT20ABA0317
NT08AB0242	NT16AB3512	NT17AB3121	NT20ABA0318
NT08AB0243	NT16AB3511	NT17AB3120	NT20ABA0319
NT08AB0244	NT16AB3510	NT17AB3119	NT20ABA0320
NT08AB0245	NT16AB3509	NT17AB3118	NT20ABA0321
NT08AB0246	NT16AB3508	NT17AB3117	NT20ABA0322
NT08AB0247	NT16AB3507	NT17AB3116	NT20ABA0323
NT08AB0248	NT16AB3506	NT17AB3115	NT20ABA0324
NT08AB0249	NT16AB3505	NT17AB3114	NT20ABA0325
NT08AB0250	NT16AB3504	NT17AB3113	NT20ABA0326
NT08AB0251	NT16AB3503	NT17AB3112	NT20ABA0327
NT08AB0252	NT16AB3502	NT17AB3111	NT20ABA0328
NT08AB0253	NT16AB3501	NT17AB3110	NT20ABA0329
NT08AB0254	NT16AB3500	NT17AB3109	NT20ABA0330
NT08AB0255	NT16AB3499	NT17AB3108	NT20ABA0331
NT08AB0256	NT16AB3498	NT17AB3107	NT20ABA0332
NT08AB0257	----------	----------	----------
NT08AB0258	----------	----------	----------
NT08AB0259	NT16AB3497	NT17AB3103	NT20ABA0333
NT08AB0260	NT16AB3496	NT17AB3102	NT20ABA0334
NT08AB0261	NT16AB3495	NT17AB3101	NT20ABA0335
NT08AB0262	NT16AB3494	NT17AB3100	NT20ABA0336
NT08AB0263	NT16AB3493	NT17AB3099	NT20ABA0337
NT08AB0264	NT16AB3492	NT17AB3098	NT20ABA0338
NT08AB0265	NT16AB3491	NT17AB3097	NT20ABA0339
NT08AB0266	NT16AB3490	NT17AB3096	NT20ABA0340
NT08AB0267	NT16AB3489	NT17AB3095	NT20ABA0341
NT08AB0268	NT16AB3488	NT17AB3094	NT20ABA0342
NT08AB0269	NT16AB3487	NT17AB3093	NT20ABA0343
NT08AB0270	NT16AB3486	NT17AB3092	NT20ABA0344
NT08AB0271	NT16AB3485	NT17AB3091	NT20ABA0345
NT08AB0272	NT16AB3484	NT17AB3090	NT20ABA0346
NT08AB0273	NT16AB3483	NT17AB3089	NT20ABA0347
NT08AB0274	NT16AB3482	NT17AB3088	NT20ABA0348
NT08AB0275	NT16AB3481	NT17AB3087	NT20ABA0349
NT08AB0277	NT16AB3479	NT17AB3085	NT20ABA0351
NT08AB0278	NT16AB3478	NT17AB3082	NT20ABA0352
NT08AB0279	NT16AB3477	NT17AB3081	NT20ABA0353
NT08AB0280	NT16AB3476	NT17AB3079	NT20ABA0354
NT08AB0281	NT16AB3475	NT17AB3078	NT20ABA0355
NT08AB0282	NT16AB3474	NT17AB3077	NT20ABA0356
NT08AB0283	----------	----------	----------
NT08AB0284	NT16AB3473	NT17AB3076	NT20ABA0358
NT08AB0285	NT16AB3472	NT17AB3067	NT20ABA0357
NT08AB0286	NT16AB3471	NT17AB3068	NT20ABA0359
NT08AB0287	NT16AB3470	NT17AB3069	NT20ABA0360
NT08AB0288	NT16AB3469	NT17AB3070	NT20ABA0361
NT08AB0289	NT16AB3468	NT17AB3071	NT20ABA0362
NT08AB0290	----------	----------	----------
NT08AB0291	NT16AB3467	NT17AB3072	NT20ABA0363
NT08AB0292	NT16AB3466	NT17AB3073	NT20ABA0364
NT08AB0293	NT16AB3465	NT17AB3074	NT20ABA0365
NT08AB0294	NT16AB3464	NT17AB3064	NT20ABA0366
NT08AB0295	NT16AB3463	NT17AB3063	NT20ABA0367
NT08AB0296	NT16AB3462	NT17AB3062	NT20ABA0368
NT08AB0297	NT16AB3461	NT17AB3061	NT20ABA0369
NT08AB0298	NT16AB3460	NT17AB3060	NT20ABA0370
NT08AB0299	NT16AB3459	NT17AB3058	NT20ABA0371
NT08AB0304	NT16AB3454	NT17AB3053	NT20ABA0376
NT08AB0306	NT16AB3452	NT17AB3051	NT20ABA0378
NT08AB0307	NT16AB3451	NT17AB3050	NT20ABA0379
NT08AB0308	NT16AB3450	NT17AB3049	NT20ABA0380
NT08AB0309	NT16AB3449	NT17AB3048	NT20ABA0381
NT08AB0310	NT16AB3448	NT17AB3047	NT20ABA0382
NT08AB0311	NT16AB3447	NT17AB3046	NT20ABA0383
NT08AB0313	NT16AB3445	NT17AB3045	NT20ABA0385
NT08AB0314	NT16AB3444	NT17AB3044	NT20ABA0386
NT08AB0315	NT16AB3443	NT17AB3041	NT20ABA0387
NT08AB0316	NT16AB3442	NT17AB3040	NT20ABA0388
NT08AB0317	NT16AB3441	NT17AB3039	NT20ABA0389
NT08AB0318	NT16AB3440	NT17AB3038	NT20ABA0390
NT08AB0319	NT16AB3439	NT17AB3037	NT20ABA0391
NT08AB0320	NT16AB3438	NT17AB3036	NT20ABA0392
NT08AB0321	NT16AB3437	NT17AB3035	NT20ABA0393
NT08AB0322	----------	----------	----------
NT08AB0323	NT16AB3436	NT17AB3034	NT20ABA0394
NT08AB0324	NT16AB3435	NT17AB3033	NT20ABA0395
NT08AB0325	NT16AB3434	NT17AB3032	NT20ABA0396
NT08AB0326	NT16AB3433	NT17AB3031	NT20ABA0397
NT08AB0327	NT16AB3432	NT17AB3029	NT20ABA0398
NT08AB0328	NT16AB3431	----------	NT20ABA0399
NT08AB0329	NT16AB3430	NT17AB3027	NT20ABA0400
NT08AB0330	----------	----------	----------
NT08AB0331	NT16AB3429	NT17AB3026	NT20ABA0401
NT08AB0332	----------	----------	----------
NT08AB0333	NT16AB3428	NT17AB3025	NT20ABA0402
NT08AB0334	NT16AB3427	NT17AB3024	NT20ABA0403
NT08AB0335	----------	----------	----------
NT08AB0336	NT16AB3425	NT17AB3023	NT20ABA0405
NT08AB0337	NT16AB3424	NT17AB3022	NT20ABA0406
NT08AB0338	NT16AB3423	NT17AB3021	NT20ABA0407
NT08AB0339	NT16AB3422	NT17AB3020	NT20ABA0408
NT08AB0340	NT16AB3421	NT17AB3019	NT20ABA0409
NT08AB0341	NT16AB3420	NT17AB3018	NT20ABA0410
NT08AB0342	----------	----------	----------
NT08AB0343	NT16AB3419	NT17AB3014	NT20ABA0411
NT08AB0344	NT16AB3418	NT17AB3013	NT20ABA0412
NT08AB0345	NT16AB3417	NT17AB3012	NT20ABA0413
NT08AB0346	NT16AB3416	----------	NT20ABA0414
NT08AB0347	NT16AB3415	NT17AB3011	NT20ABA0415
NT08AB0348	NT16AB3414	NT17AB3010	NT20ABA0416
NT08AB0349	NT16AB3413	NT17AB3009	NT20ABA0417
NT08AB0350	NT16AB3412	NT17AB3008	NT20ABA0418
NT08AB0351	NT16AB3411	NT17AB3007	NT20ABA0419
NT08AB0352	NT16AB3410	NT17AB3006	NT20ABA0420
NT08AB0353	NT16AB3409	NT17AB3005	NT20ABA0421
NT08AB0354	NT16AB3408	NT17AB3004	NT20ABA0423
NT08AB0355	NT16AB3407	NT17AB3003	NT20ABA0422
NT08AB0356	NT16AB3406	NT17AB3002	NT20ABA0424
NT08AB0357	NT16AB3405	NT17AB3000	NT20ABA0425
NT08AB0358	NT16AB3404	NT17AB2999	NT20ABA0426
NT08AB0359	NT16AB3403	NT17AB2996	NT20ABA0427
NT08AB0360	NT16AB3402	NT17AB2995	NT20ABA0428
NT08AB0363	NT16AB3398	NT17AB2991	NT20ABA0432
NT08AB0364	NT16AB3397	NT17AB2990	NT20ABA0433
NT08AB0365	NT16AB3396	NT17AB2989	NT20ABA0434
NT08AB0366	----------	----------	----------
NT08AB0367	NT16AB3395	NT17AB2988	NT20ABA0435
NT08AB0368	NT16AB3394	NT17AB2987	NT20ABA0436
NT08AB0369	NT16AB3393	NT17AB2986	NT20ABA0437
NT08AB0370	NT16AB3392	NT17AB2985	NT20ABA0438
NT08AB0371	NT16AB3391	NT17AB2984	NT20ABA0439
NT08AB0372	NT16AB3390	NT17AB2983	NT20ABA0440
NT08AB0373	NT16AB3389	NT17AB2982	NT20ABA0441
NT08AB0374	NT16AB3388	NT17AB2981	NT20ABA0442
NT08AB0375	NT16AB3387	NT17AB2980	NT20ABA0443
NT08AB0376	NT16AB3386	NT17AB2979	NT20ABA0444
NT08AB0377	NT16AB3385	NT17AB2978	NT20ABA0445
NT08AB0378	NT16AB3384	NT17AB2975	NT20ABA0446
NT08AB0379	NT16AB3383	NT17AB2974	NT20ABA0447
NT08AB0380	NT16AB3382	NT17AB2973	NT20ABA0448
NT08AB0381	NT16AB3381	NT17AB2972	NT20ABA0449
NT08AB0382	NT16AB3380	NT17AB2971	NT20ABA0450
NT08AB0383	NT16AB3379	NT17AB2970	NT20ABA0452
NT08AB0384	NT16AB3378	NT17AB2969	NT20ABA0453
NT08AB0385	----------	----------	----------
NT08AB0386	----------	----------	----------
NT08AB0387	NT16AB3377	NT17AB2968	NT20ABA0454
NT08AB0388	NT16AB3376	NT17AB2967	NT20ABA0455
NT08AB0389	NT16AB3375	NT17AB2966	NT20ABA0456
NT08AB0390	NT16AB3374	NT17AB2965	NT20ABA0457
NT08AB0391	NT16AB3373	NT17AB2964	NT20ABA0458
NT08AB0392	NT16AB3372	NT17AB2963	NT20ABA0459
NT08AB0393	NT16AB3371	NT17AB2962	NT20ABA0460
NT08AB0394	NT16AB3370	NT17AB2959	NT20ABA0461
NT08AB0395	NT16AB3369	NT17AB2958	NT20ABA0462
NT08AB0396	NT16AB3368	NT17AB2957	NT20ABA0463
NT08AB0397	NT16AB3367	NT17AB2956	NT20ABA0464
NT08AB0398	NT16AB3366	NT17AB2955	NT20ABA0465
NT08AB0399	NT16AB3365	NT17AB2954	NT20ABA0466
NT08AB0400	NT16AB3364	NT17AB2953	NT20ABA0467
NT08AB0401	NT16AB3363	NT17AB2951	NT20ABA0468
NT08AB0402	NT16AB3362	NT17AB2950	NT20ABA0469
NT08AB0403	NT16AB3361	NT17AB2949	NT20ABA0470
NT08AB0404	NT16AB3360	NT17AB2948	NT20ABA0471
NT08AB0405	NT16AB3359	NT17AB2947	NT20ABA0472
NT08AB0406	NT16AB3358	----------	NT20ABA0473
NT08AB0407	----------	----------	----------
NT08AB0408	NT16AB3357	NT17AB2945	NT20ABA0474
NT08AB0409	NT16AB3356	NT17AB2944	NT20ABA0475
NT08AB0410	NT16AB3355	NT17AB2943	NT20ABA0476
NT08AB0411	----------	----------	NT20ABA0477
NT08AB0412	NT16AB3354	NT17AB2942	NT20ABA0478
NT08AB0413	NT16AB3353	NT17AB2941	NT20ABA0479
NT08AB0414	NT16AB3352	NT17AB2940	NT20ABA0481
NT08AB0415	NT16AB3351	NT17AB2939	NT20ABA0480
NT08AB0416	NT16AB3350	NT17AB2938	NT20ABA0482
NT08AB0417	NT16AB3349	NT17AB2937	NT20ABA0483
NT08AB0418	NT16AB3348	NT17AB2936	NT20ABA0484
NT08AB0419	NT16AB3347	NT17AB2935	NT20ABA0485
NT08AB0420	NT16AB3346	NT17AB2934	NT20ABA0486
NT08AB0421	NT16AB3345	NT17AB2933	NT20ABA0487
NT08AB0422	NT16AB3344	NT17AB2932	NT20ABA0488
NT08AB0423	NT16AB3343	NT17AB2931	NT20ABA0489
NT08AB0424	NT16AB3342	NT17AB2930	NT20ABA0490
NT08AB0425	NT16AB3341	NT17AB2929	NT20ABA0491
NT08AB0426	NT16AB3340	NT17AB2928	NT20ABA0492
NT08AB0427	NT16AB3339	NT17AB2927	NT20ABA0493
NT08AB0428	NT16AB3338	NT17AB2926	NT20ABA0494
NT08AB0429	NT16AB3337	NT17AB2925	NT20ABA0495
NT08AB0432	NT16AB3334	NT17AB2922	NT20ABA0497
NT08AB0433	NT16AB3333	NT17AB2921	NT20ABA0498
NT08AB0434	NT16AB3332	----------	NT20ABA0499
NT08AB0435	NT16AB3330	NT17AB2920	NT20ABA0501
NT08AB0436	----------	----------	----------
NT08AB0437	NT16AB3329	NT17AB2919	NT20ABA0502
NT08AB0438	NT16AB3328	----------	NT20ABA0503
NT08AB0439	NT16AB3327	----------	NT20ABA0504
NT08AB0440	NT16AB3326	----------	NT20ABA0505
NT08AB0441	NT16AB3325	----------	NT20ABA0506
NT08AB0442	NT16AB3324	----------	NT20ABA0507
NT08AB0443	NT16AB3323	----------	NT20ABA0508
NT08AB0444	NT16AB3322	NT17AB2916	NT20ABA0509
NT08AB0445	NT16AB3321	NT17AB2915	NT20ABA0510
NT08AB0446	NT16AB3320	NT17AB2914	NT20ABA0511
NT08AB0447	NT16AB3319	NT17AB2913	NT20ABA0512
NT08AB0448	NT16AB3318	NT17AB2912	NT20ABA0513
NT08AB0449	NT16AB3317	NT17AB2911	NT20ABA0514
NT08AB0450	NT16AB3316	NT17AB2910	NT20ABA0515
NT08AB0451	NT16AB3315	NT17AB2909	NT20ABA0516
NT08AB0452	NT16AB3314	NT17AB2908	NT20ABA0517
NT08AB0453	NT16AB3313	NT17AB2907	NT20ABA0518
NT08AB0454	NT16AB3312	----------	NT20ABA0519
NT08AB0455	NT16AB3311	NT17AB2906	NT20ABA0520
NT08AB0456	NT16AB3310	NT17AB2905	NT20ABA0521
NT08AB0457	NT16AB3309	NT17AB2904	NT20ABA0522
NT08AB0458	NT16AB3308	NT17AB2903	NT20ABA0523
NT08AB0459	NT16AB3307	NT17AB2901	NT20ABA0524
NT08AB0460	NT16AB3306	NT17AB2900	NT20ABA0526
NT08AB0461	NT16AB3305	NT17AB2899	NT20ABA0527
NT08AB0462	NT16AB3304	NT17AB2898	NT20ABA0528
NT08AB0463	NT16AB3303	NT17AB2897	NT20ABA0529
NT08AB0464	NT16AB3302	NT17AB2896	NT20ABA0530
NT08AB0465	NT16AB3301	NT17AB2895	NT20ABA0531
NT08AB0466	NT16AB3300	NT17AB2894	NT20ABA0532
NT08AB0467	NT16AB3299	NT17AB2893	NT20ABA0536
NT08AB0468	NT16AB3298	NT17AB2892	NT20ABA0537
NT08AB0469	NT16AB3297	NT17AB2891	NT20ABA0538
NT08AB0470	NT16AB3296	NT17AB2890	NT20ABA0539
NT08AB0471	NT16AB3295	NT17AB2889	NT20ABA0540
NT08AB0472	NT16AB3294	NT17AB2888	NT20ABA0541
NT08AB0473	NT16AB3293	NT17AB2887	NT20ABA0542
NT08AB0474	NT16AB3292	NT17AB2886	NT20ABA0543
NT08AB0475	NT16AB3291	NT17AB2885	NT20ABA0544
