NT08AB0001	NT16AB0001 (99.78%)	NT17AB0001 (99.26%)	NT20ABA0020 (99.78%)
NT08AB0061	NT16AB3750 (92.35%)	NT17AB0061 (96.17%)	NT20ABA0097 (91.53%)
NT08AB0062	NT16AB3749 (66.98%)	NT17AB0062 (66.27%)	NT20ABA0098 (66.27%)
NT08AB0063			
NT08AB0064	NT16AB3741 (27.97%)	NT17AB0067 ( 0.00%)	NT20ABA0110 ( 0.00%)
NT08AB0065	NT16AB3740 (32.60%)	NT17AB0064 (29.30%)	
NT08AB0066			
NT08AB0067			
NT08AB0068			
NT08AB0069			
NT08AB0070			
NT08AB0071		NT17AB0074 (28.77%)	NT20ABA0103 (32.35%)
NT08AB0072			
NT08AB0073	NT16AB3742 (60.80%)	NT17AB0075 (98.71%)	
NT08AB0074	NT16AB3738 (95.19%)	NT17AB0076 (97.94%)	NT20ABA0115 (93.81%)
NT08AB0075			
NT08AB0076	NT16AB3737 (93.39%)	NT17AB0077 (99.61%)	NT20ABA0116 (93.77%)
NT08AB0077	NT16AB3736 (92.97%)	NT17AB0078 (99.64%)	NT20ABA0117 (93.88%)
NT08AB0078		NT17AB0079 (99.70%)	NT20ABA0118 (99.11%)
NT08AB0079	NT16AB3735 (98.90%)	NT17AB0080 (98.90%)	NT20ABA0119 (99.34%)
NT08AB0080	NT16AB3734 (99.82%)	NT17AB0082 (99.53%)	NT20ABA0120 (99.82%)
NT08AB0081	NT16AB3733 (100.00%)	NT17AB0083 (100.00%)	NT20ABA0121 (100.00%)
NT08AB0082	NT16AB3732 (100.00%)	NT17AB0084 (99.74%)	NT20ABA0122 (100.00%)
NT08AB0083	NT16AB3731 (99.47%)	NT17AB0085 (98.59%)	NT20ABA0123 (99.30%)
NT08AB0084	NT16AB3730 (100.00%)	NT17AB0086 (100.00%)	NT20ABA0124 (100.00%)
NT08AB0085			
NT08AB0086	NT16AB3729 (100.00%)	NT17AB0087 (99.44%)	NT20ABA0125 (99.58%)
NT08AB0087	NT16AB3728 (100.00%)	NT17AB0088 (99.66%)	NT20ABA0126 (99.66%)
NT08AB0088	NT16AB3727 (100.00%)	NT17AB0089 (99.43%)	NT20ABA0127 (100.00%)
NT08AB0089			
NT08AB0090	NT16AB3726 (99.77%)	NT17AB0090 (99.31%)	NT20ABA0128 (99.77%)
NT08AB0091			
NT08AB0092			
NT08AB0093	NT16AB3723 (100.00%)	NT17AB0091 (99.17%)	
NT08AB0094		NT17AB0092 (97.63%)	
NT08AB0095			
NT08AB0096	NT16AB2407 (43.81%)		NT20ABA1499 (43.81%)
NT08AB0097			
NT08AB0098			
NT08AB0099			
NT08AB0100			
NT08AB0101			
NT08AB0102			
NT08AB0103			
NT08AB0104	NT16AB3719 (96.14%)	NT17AB0097 (95.71%)	NT20ABA0134 (95.71%)
NT08AB0105			
NT08AB0106	NT16AB3718 (99.14%)	NT17AB0098 (92.19%)	NT20ABA0135 (99.57%)
NT08AB0107	NT16AB3717 (100.00%)	NT17AB0100 (100.00%)	NT20ABA0136 (99.00%)
NT08AB0108	NT16AB3716 (100.00%)	NT17AB0101 (100.00%)	NT20ABA0137 (96.80%)
NT08AB0109	NT16AB3715 (98.41%)	NT17AB0102 (98.41%)	NT20ABA0138 (89.68%)
NT08AB0110	NT16AB3714 (97.28%)	NT17AB0103 (97.00%)	NT20ABA0139 (97.28%)
NT08AB0111	NT16AB3713 (98.69%)	NT17AB0104 (96.85%)	NT20ABA0140 (98.69%)
NT08AB0112	NT16AB3712 (100.00%)	NT17AB0105 (100.00%)	NT20ABA0141 (100.00%)
NT08AB0113	NT16AB3711 (99.29%)	NT17AB0106 (99.05%)	NT20ABA0142 (99.29%)
NT08AB0114	NT16AB3710 (98.64%)	NT17AB0107 (99.18%)	NT20ABA0143 (98.64%)
NT08AB0115	NT16AB3709 (99.16%)	NT17AB0108 (97.06%)	NT20ABA0144 (99.16%)
NT08AB0116	NT16AB3708 (99.79%)	NT17AB0109 (93.70%)	NT20ABA0145 (99.79%)
NT08AB0117	NT16AB3707 (99.79%)		NT20ABA0146 (99.79%)
NT08AB0118	NT16AB3706 (100.00%)	NT17AB0110 (99.66%)	NT20ABA0147 (100.00%)
NT08AB0119	NT16AB3705 (99.26%)	NT17AB0111 (98.77%)	NT20ABA0148 (99.26%)
NT08AB0120			
NT08AB0121	NT16AB3704 (100.00%)	NT17AB0112 (99.66%)	NT20ABA0149 (100.00%)
NT08AB0122	NT16AB3703 (98.18%)	NT17AB0113 (98.18%)	NT20ABA0150 (98.18%)
NT08AB0123	NT16AB3702 (98.93%)	NT17AB0114 (98.40%)	NT20ABA0151 (98.93%)
NT08AB0124	NT16AB3701 (97.67%)	NT17AB0116 (96.82%)	NT20ABA0152 (97.67%)
NT08AB0125	NT16AB3700 (95.60%)	NT17AB0117 (96.11%)	NT20ABA0153 (95.60%)
NT08AB0126	NT16AB3699 (99.77%)	NT17AB0118 (99.30%)	NT20ABA0154 (99.77%)
NT08AB0127	NT16AB3698 (99.45%)	NT17AB0119 (96.73%)	NT20ABA0155 (99.45%)
NT08AB0128	NT16AB3697 (98.35%)		NT20ABA0156 (98.35%)
NT08AB0129	NT16AB3696 (100.00%)		NT20ABA0157 (100.00%)
NT08AB0130	NT16AB3695 (98.57%)		NT20ABA0158 (98.57%)
NT08AB0131	NT16AB3694 (98.49%)		NT20ABA0159 (98.49%)
NT08AB0132	NT16AB3693 (100.00%)		NT20ABA0160 (100.00%)
NT08AB0133	NT16AB3692 (97.65%)		NT20ABA0161 (97.65%)
NT08AB0134	NT16AB3691 (98.93%)		NT20ABA0162 (98.93%)
NT08AB0135	NT16AB3690 (96.58%)		NT20ABA0163 (96.58%)
NT08AB0136	NT16AB3689 (98.39%)		NT20ABA0164 (98.39%)
NT08AB0137	NT16AB3688 (96.47%)		NT20ABA0165 (96.47%)
NT08AB0140	NT16AB3685 (99.02%)	NT17AB0123 (100.00%)	NT20ABA0168 (99.02%)
NT08AB0141	NT16AB3684 (96.92%)	NT17AB0124 (98.46%)	NT20ABA0169 (96.92%)
NT08AB0142	NT16AB3683 (99.64%)	NT17AB0125 (99.29%)	NT20ABA0170 (99.64%)
NT08AB0143	NT16AB3682 (99.22%)	NT17AB0126 (98.92%)	NT20ABA0171 (99.22%)
NT08AB0144	NT16AB3681 (100.00%)	NT17AB0127 (99.49%)	NT20ABA0172 (100.00%)
NT08AB0145	NT16AB3680 (99.53%)	NT17AB0128 (99.06%)	NT20ABA0173 (99.53%)
NT08AB0146	NT16AB3679 (100.00%)	NT17AB0131 (100.00%)	NT20ABA0174 (100.00%)
NT08AB0147	NT16AB3678 (99.76%)	NT17AB0132 (99.76%)	NT20ABA0175 (99.76%)
NT08AB0148	NT16AB3677 (100.00%)	NT17AB0133 (99.62%)	NT20ABA0176 (100.00%)
NT08AB0149	NT16AB3676 (97.33%)	NT17AB0134 (98.09%)	NT20ABA0177 (97.33%)
NT08AB0150	NT16AB3675 (98.86%)	NT17AB0135 (99.30%)	NT20ABA0178 (98.86%)
NT08AB0151	NT16AB3674 (99.01%)	NT17AB0136 (100.00%)	NT20ABA0179 (99.01%)
NT08AB0152	NT16AB3673 (99.37%)	NT17AB0137 (99.62%)	NT20ABA0180 (99.37%)
NT08AB0153	NT16AB3672 (100.00%)	NT17AB0138 (100.00%)	NT20ABA0181 (100.00%)
NT08AB0154	NT16AB3671 (99.50%)	NT17AB0139 (98.45%)	NT20ABA0182 (99.50%)
NT08AB0155	NT16AB3670 (99.52%)	NT17AB0141 (98.10%)	NT20ABA0183 (99.52%)
NT08AB0156			
NT08AB0157	NT16AB3669 (99.43%)	NT17AB0142 (99.13%)	NT20ABA0184 (99.43%)
NT08AB0158	NT16AB3668 (99.65%)		NT20ABA0185 (99.65%)
NT08AB0159	NT16AB3667 (100.00%)		NT20ABA0186 (100.00%)
NT08AB0160	NT16AB3666 (99.52%)		NT20ABA0187 (99.52%)
NT08AB0161	NT16AB3665 (100.00%)	NT17AB0144 (99.13%)	NT20ABA0188 (100.00%)
NT08AB0162	NT16AB3664 (99.61%)	NT17AB0145 (98.84%)	NT20ABA0189 (99.61%)
NT08AB0163	NT16AB3663 (100.00%)	NT17AB0146 (100.00%)	NT20ABA0190 (100.00%)
NT08AB0164	NT16AB3662 (99.22%)	NT17AB0147 (99.61%)	NT20ABA0191 (99.22%)
NT08AB0165	NT16AB3661 (100.00%)	NT17AB0148 (100.00%)	NT20ABA0192 (100.00%)
NT08AB0166	NT16AB3660 (100.00%)	NT17AB0149 (99.31%)	NT20ABA0193 (100.00%)
NT08AB0167	NT16AB3659 (100.00%)	NT17AB0150 (100.00%)	NT20ABA0194 (100.00%)
NT08AB0168	NT16AB3658 (100.00%)	NT17AB0151 (99.36%)	NT20ABA0195 (100.00%)
NT08AB0169	NT16AB3657 (100.00%)	NT17AB0152 (99.44%)	NT20ABA0196 (99.44%)
NT08AB0170	NT16AB3656 (100.00%)	NT17AB0153 (99.81%)	NT20ABA0197 (100.00%)
NT08AB0171	NT16AB3655 (100.00%)	NT17AB0154 (100.00%)	NT20ABA0198 (100.00%)
NT08AB0172	NT16AB3654 (100.00%)	NT17AB0155 (100.00%)	NT20ABA0199 (100.00%)
NT08AB0173	NT16AB3653 (100.00%)	NT17AB0156 (98.56%)	NT20ABA0200 (100.00%)
NT08AB0174			
NT08AB0175	NT16AB3652 (99.50%)	NT17AB0159 (97.67%)	NT20ABA0201 (97.49%)
NT08AB0176	NT16AB3651 (98.90%)	NT17AB0160 (98.90%)	NT20ABA0202 (100.00%)
NT08AB0177	NT16AB3650 (99.21%)	NT17AB0161 (99.21%)	NT20ABA0203 (99.21%)
NT08AB0178	NT16AB3649 (100.00%)	NT17AB0162 (99.49%)	NT20ABA0204 (99.50%)
NT08AB0179	NT16AB3648 (97.77%)	NT17AB0163 (97.77%)	NT20ABA0205 (97.77%)
NT08AB0180	NT16AB3647 (100.00%)	NT17AB0164 (99.30%)	NT20ABA0206 (100.00%)
NT08AB0181			
NT08AB0182	NT16AB3646 (100.00%)	NT17AB0165 (100.00%)	NT20ABA0207 (100.00%)
NT08AB0183	NT16AB3645 (99.20%)	NT17AB0166 (97.87%)	NT20ABA0208 (99.20%)
NT08AB0184	NT16AB3644 (98.96%)	NT17AB0169 (98.47%)	NT20ABA0209 (98.96%)
NT08AB0185	NT16AB3643 (100.00%)	NT17AB0170 (99.43%)	NT20ABA0210 (100.00%)
NT08AB0186	NT16AB3642 (100.00%)		NT20ABA0211 (99.30%)
NT08AB0187	NT16AB3641 (84.70%)	NT17AB0171 (84.56%)	NT20ABA0212 (82.36%)
NT08AB0188	NT16AB3640 (98.53%)	NT17AB0172 (97.56%)	NT20ABA0213 (98.53%)
NT08AB0189	NT16AB3639 (99.25%)	NT17AB0173 (98.21%)	NT20ABA0214 (96.30%)
NT08AB0190	NT16AB3638 (97.47%)	NT17AB0175 (96.40%)	NT20ABA0215 (97.04%)
NT08AB0196	NT16AB3632 (96.67%)	NT17AB0185 (93.22%)	NT20ABA0221 (95.56%)
NT08AB0197	NT16AB3631 (97.59%)	NT17AB0186 (98.49%)	NT20ABA0222 (98.19%)
NT08AB0198	NT16AB3630 (99.48%)	NT17AB0187 (100.00%)	NT20ABA0223 (98.96%)
NT08AB0199	NT16AB3629 (97.87%)	NT17AB0188 (97.10%)	NT20ABA0224 (97.87%)
NT08AB0200	NT16AB3628 (99.38%)		NT20ABA0225 (96.27%)
NT08AB0201	NT16AB3627 (99.25%)		NT20ABA0226 (97.76%)
NT08AB0202	NT16AB3626 (99.05%)		NT20ABA0227 (98.75%)
NT08AB0203	NT16AB3625 (99.75%)	NT17AB0190 (99.62%)	NT20ABA0229 (99.62%)
NT08AB0204	NT16AB3624 (98.80%)	NT17AB0191 (98.01%)	NT20ABA0230 (98.80%)
NT08AB0205	NT16AB3623 (99.15%)	NT17AB0192 (98.06%)	NT20ABA0231 (100.00%)
NT08AB0206	NT16AB3622 (100.00%)	NT17AB0193 (99.40%)	NT20ABA0232 (99.72%)
NT08AB0207	NT16AB3621 (98.81%)	NT17AB0194 (96.55%)	NT20ABA0234 (97.48%)
NT08AB0208	NT16AB3620 (99.57%)	NT17AB0195 (99.14%)	NT20ABA0235 (99.35%)
NT08AB0209	NT16AB3619 (100.00%)	NT17AB0196 (100.00%)	NT20ABA0236 (100.00%)
NT08AB0210	NT16AB3618 (100.00%)	NT17AB0197 (98.57%)	NT20ABA0237 (99.81%)
NT08AB0211	NT16AB3617 (96.77%)	NT17AB0198 (98.06%)	NT20ABA0238 (98.06%)
NT08AB0212	NT16AB3616 (100.00%)	NT17AB0199 (100.00%)	NT20ABA0239 (100.00%)
NT08AB0213	NT16AB3615 (99.77%)	NT17AB0200 (99.28%)	NT20ABA0240 (100.00%)
NT08AB0214	NT16AB3614 (99.12%)	NT17AB0201 (99.30%)	NT20ABA0241 (99.30%)
NT08AB0215			
NT08AB0216	NT16AB3613 (100.00%)	NT17AB0202 (100.00%)	NT20ABA0242 (100.00%)
NT08AB0217			
NT08AB0218	NT16AB3612 (97.64%)	NT17AB0203 (97.26%)	NT20ABA0243 (98.43%)
NT08AB0219	NT16AB3611 (100.00%)	NT17AB0204 (99.24%)	NT20ABA0244 (100.00%)
NT08AB0220	NT16AB3610 (100.00%)	NT17AB0205 (100.00%)	NT20ABA0245 (100.00%)
NT08AB0221	NT16AB3609 (79.68%)	NT17AB0206 (79.68%)	NT20ABA0246 (79.68%)
NT08AB0222	NT16AB3608 (96.43%)		NT20ABA0247 (96.43%)
NT08AB0223	NT16AB3607 (85.35%)		NT20ABA0248 (85.35%)
NT08AB0224	NT16AB3606 (92.18%)		NT20ABA0249 (92.18%)
NT08AB0225	NT16AB3605 (99.22%)		NT20ABA0250 (99.22%)
NT08AB0226	NT16AB3604 (97.46%)		NT20ABA0251 (97.46%)
NT08AB0227	NT16AB3603 (99.12%)		NT20ABA0252 (99.12%)
NT08AB0228			
NT08AB0229	NT16AB3602 (98.59%)		NT20ABA0253 (98.59%)
NT08AB0230			
NT08AB0231	NT16AB3601 (98.62%)	NT17AB3133 (36.14%)	NT20ABA0254 (98.62%)
NT08AB0232	NT16AB3600 (100.00%)	NT17AB3132 (39.24%)	NT20ABA0583 (100.00%)
NT08AB0233			NT20ABA0582 (100.00%)
NT08AB0234			NT20ABA0581 (99.16%)
NT08AB0235			NT20ABA0580 (100.00%)
NT08AB0236			NT20ABA0579 (100.00%)
NT08AB0237			NT20ABA0578 (97.88%)
NT08AB0238	NT16AB3516 (88.69%)		NT20ABA0314 (88.69%)
NT08AB0239	NT16AB3515 (97.99%)		NT20ABA0315 (97.99%)
NT08AB0240	NT16AB3514 (100.00%)	NT17AB3123 (99.64%)	NT20ABA0316 (100.00%)
NT08AB0241	NT16AB3513 (100.00%)	NT17AB3122 (98.48%)	NT20ABA0317 (100.00%)
NT08AB0242	NT16AB3512 (100.00%)	NT17AB3121 (99.11%)	NT20ABA0318 (100.00%)
NT08AB0243	NT16AB3511 (99.35%)	NT17AB3120 (99.78%)	NT20ABA0319 (99.57%)
NT08AB0244	NT16AB3510 (100.00%)	NT17AB3119 (100.00%)	NT20ABA0320 (100.00%)
NT08AB0245	NT16AB3509 (97.51%)	NT17AB3118 (96.68%)	NT20ABA0321 (97.51%)
NT08AB0246	NT16AB3508 (100.00%)	NT17AB3117 (99.72%)	NT20ABA0322 (100.00%)
NT08AB0247	NT16AB3507 (100.00%)	NT17AB3116 (99.54%)	NT20ABA0323 (100.00%)
NT08AB0248	NT16AB3506 (100.00%)	NT17AB3115 (97.22%)	NT20ABA0324 (100.00%)
NT08AB0249	NT16AB3505 (99.06%)	NT17AB3114 (98.11%)	NT20ABA0325 (99.06%)
NT08AB0250	NT16AB3504 (99.26%)	NT17AB3113 (99.26%)	NT20ABA0326 (99.26%)
NT08AB0251	NT16AB3503 (100.00%)	NT17AB3112 (99.79%)	NT20ABA0327 (100.00%)
NT08AB0252	NT16AB3502 (100.00%)	NT17AB3111 (99.72%)	NT20ABA0328 (100.00%)
NT08AB0253	NT16AB3501 (100.00%)	NT17AB3110 (99.70%)	NT20ABA0329 (100.00%)
NT08AB0254	NT16AB3500 (99.61%)	NT17AB3109 (99.03%)	NT20ABA0330 (99.61%)
NT08AB0255	NT16AB3499 (99.24%)	NT17AB3108 (98.15%)	NT20ABA0331 (99.24%)
NT08AB0256	NT16AB3498 (97.98%)	NT17AB3107 (95.50%)	NT20ABA0332 (97.98%)
NT08AB0257			
NT08AB0258			
NT08AB0259	NT16AB3497 (98.82%)	NT17AB3103 (99.32%)	NT20ABA0333 (98.82%)
NT08AB0260	NT16AB3496 (100.00%)	NT17AB3102 (100.00%)	NT20ABA0334 (100.00%)
NT08AB0261	NT16AB3495 (99.70%)	NT17AB3101 (99.40%)	NT20ABA0335 (99.70%)
NT08AB0262	NT16AB3494 (100.00%)	NT17AB3100 (100.00%)	NT20ABA0336 (100.00%)
NT08AB0263	NT16AB3493 (100.00%)	NT17AB3099 (99.77%)	NT20ABA0337 (100.00%)
NT08AB0264	NT16AB3492 (99.26%)	NT17AB3098 (98.52%)	NT20ABA0338 (99.26%)
NT08AB0265	NT16AB3491 (99.67%)	NT17AB3097 (99.02%)	NT20ABA0339 (99.67%)
NT08AB0266	NT16AB3490 (100.00%)	NT17AB3096 (98.75%)	NT20ABA0340 (100.00%)
NT08AB0267	NT16AB3489 (100.00%)	NT17AB3095 (99.68%)	NT20ABA0341 (100.00%)
NT08AB0268	NT16AB3488 (100.00%)	NT17AB3094 (100.00%)	NT20ABA0342 (100.00%)
NT08AB0269	NT16AB3487 (99.55%)	NT17AB3093 (99.78%)	NT20ABA0343 (99.55%)
NT08AB0270	NT16AB3486 (100.00%)	NT17AB3092 (100.00%)	NT20ABA0344 (100.00%)
NT08AB0271	NT16AB3485 (97.35%)	NT17AB3091 (89.51%)	NT20ABA0345 (97.35%)
NT08AB0272	NT16AB3484 (100.00%)	NT17AB3090 (99.44%)	NT20ABA0346 (100.00%)
NT08AB0273	NT16AB3483 (100.00%)	NT17AB3089 (99.63%)	NT20ABA0347 (100.00%)
NT08AB0274	NT16AB3482 (100.00%)	NT17AB3088 (99.52%)	NT20ABA0348 (100.00%)
NT08AB0275	NT16AB3481 (100.00%)	NT17AB3087 (99.52%)	NT20ABA0349 (100.00%)
NT08AB0277	NT16AB3479 (97.74%)	NT17AB3085 (96.89%)	NT20ABA0351 (97.74%)
NT08AB0278	NT16AB3478 (97.93%)	NT17AB3082 (98.96%)	NT20ABA0352 (97.93%)
NT08AB0279	NT16AB3477 (98.34%)	NT17AB3081 (98.52%)	NT20ABA0353 (98.67%)
NT08AB0280	NT16AB3476 (99.55%)	NT17AB3079 (99.77%)	NT20ABA0354 (99.55%)
NT08AB0281	NT16AB3475 (100.00%)	NT17AB3078 (99.58%)	NT20ABA0355 (100.00%)
NT08AB0282	NT16AB3474 (100.00%)	NT17AB3077 (100.00%)	NT20ABA0356 (100.00%)
NT08AB0283			
NT08AB0284	NT16AB3473 (99.24%)	NT17AB3076 (99.49%)	NT20ABA0358 (99.24%)
NT08AB0285	NT16AB3472 (98.94%)	NT17AB3067 (98.57%)	NT20ABA0357 (98.94%)
NT08AB0286	NT16AB3471 (100.00%)	NT17AB3068 (100.00%)	NT20ABA0359 (100.00%)
NT08AB0287	NT16AB3470 (99.68%)	NT17AB3069 (99.35%)	NT20ABA0360 (99.68%)
NT08AB0288	NT16AB3469 (98.82%)	NT17AB3070 (98.43%)	NT20ABA0361 (98.82%)
NT08AB0289	NT16AB3468 (100.00%)	NT17AB3071 (99.39%)	NT20ABA0362 (100.00%)
NT08AB0290			
NT08AB0291	NT16AB3467 (98.99%)	NT17AB3072 (99.50%)	NT20ABA0363 (98.99%)
NT08AB0292	NT16AB3466 (100.00%)	NT17AB3073 (100.00%)	NT20ABA0364 (100.00%)
NT08AB0293	NT16AB3465 (100.00%)	NT17AB3074 (100.00%)	NT20ABA0365 (100.00%)
NT08AB0294	NT16AB3464 (99.19%)	NT17AB3064 (99.19%)	NT20ABA0366 (99.19%)
NT08AB0295	NT16AB3463 (99.64%)	NT17AB3063 (98.56%)	NT20ABA0367 (99.64%)
NT08AB0296	NT16AB3462 (99.74%)	NT17AB3062 (92.65%)	NT20ABA0368 (99.74%)
NT08AB0297	NT16AB3461 (99.04%)	NT17AB3061 (98.56%)	NT20ABA0369 (98.98%)
NT08AB0298	NT16AB3460 (100.00%)	NT17AB3060 (99.55%)	NT20ABA0370 (100.00%)
NT08AB0299	NT16AB3459 (99.60%)	NT17AB3058 (98.86%)	NT20ABA0371 (99.60%)
NT08AB0304	NT16AB3454 (100.00%)	NT17AB3053 (100.00%)	NT20ABA0376 (100.00%)
NT08AB0306	NT16AB3452 (100.00%)	NT17AB3051 (98.99%)	NT20ABA0378 (100.00%)
NT08AB0307	NT16AB3451 (100.00%)	NT17AB3050 (100.00%)	NT20ABA0379 (100.00%)
NT08AB0308	NT16AB3450 (100.00%)	NT17AB3049 (100.00%)	NT20ABA0380 (100.00%)
NT08AB0309	NT16AB3449 (100.00%)	NT17AB3048 (99.57%)	NT20ABA0381 (99.57%)
NT08AB0310	NT16AB3448 (100.00%)	NT17AB3047 (100.00%)	NT20ABA0382 (100.00%)
NT08AB0311	NT16AB3447 (100.00%)	NT17AB3046 (100.00%)	NT20ABA0383 (99.19%)
NT08AB0313	NT16AB3445 (99.85%)	NT17AB3045 (99.70%)	NT20ABA0385 (99.85%)
NT08AB0314	NT16AB3444 (100.00%)	NT17AB3044 (99.93%)	NT20ABA0386 (100.00%)
NT08AB0315	NT16AB3443 (99.17%)	NT17AB3041 (99.17%)	NT20ABA0387 (99.17%)
NT08AB0316	NT16AB3442 (100.00%)	NT17AB3040 (98.95%)	NT20ABA0388 (100.00%)
NT08AB0317	NT16AB3441 (99.39%)	NT17AB3039 (100.00%)	NT20ABA0389 (99.39%)
NT08AB0318	NT16AB3440 (98.62%)	NT17AB3038 (99.66%)	NT20ABA0390 (98.62%)
NT08AB0319	NT16AB3439 (99.79%)	NT17AB3037 (99.79%)	NT20ABA0391 (99.79%)
NT08AB0320	NT16AB3438 (98.45%)	NT17AB3036 (91.84%)	NT20ABA0392 (98.45%)
